Andorra,GrandvaliraElTarter,Grandvalira El Tarter
Andorra,Canillo,Grandvalira-Canillo
Andorra,Encamp,Grandvalira-Encamp
Andorra,GrauRoig,Grandvalira-Grau Roig
Andorra,Pas-de-la-Casa,Grandvalira-Pas de la Casa
Andorra,El-Tarter-Soldeu,Grandvalira-Soldeu
Andorra,Ordino-Arcalis,Vallnord-Arcalís
Andorra,Arinsal,Vallnord-Arinsal
Andorra,Pal,Vallnord-Pal
Argentina,Aconcagua,Aconcagua
Argentina,Cerro-Batea-Mahuida,Batea Mahuida
Argentina,Calafate-Mountain-Park,Calafate Mountain Park
Argentina,Caviahue,Caviahue
Argentina,Cerro-Bayo,Cerro Bayo
Argentina,Cerro-Castor,Cerro Castor
Argentina,Catedral,Cerro Catedral
Argentina,Chapelco,Chapelco
Argentina,La-Hoya,La Hoya
Argentina,Las-Lenas,Las Leñas
Argentina,LasPendientes,Las Pendientes
Argentina,Los-Penitentes,Los Penitentes
Argentina,LosPuquios,Los Puquios
Argentina,Monte-Bianco,Monte Bianco
Argentina,PeritoMoreno,Perito Moreno
Argentina,Vallecitos,Vallecitos
Armenia,Tsakhkadzor,Tsakhkadzor
Armenia,Vanadzor,Vanadzor
Australia,Bluff-Knoll,Bluff Knoll (Stirling Ranges)
Australia - New South Wales,Charlotte-Pass,Charlotte Pass
Australia - New South Wales,Perisher-Blue,Perisher
Australia - New South Wales,Selwyn-Snowfields,Selwyn Snowfields
Australia - New South Wales,Thredbo,Thredbo
Australia - Tasmania,Ben-Lomond,Ben Lomond
Australia - Tasmania,MtMawson,Mt Mawson
Australia - Victoria,DinnerPlain,Dinner Plain
Australia - Victoria,Falls-Creek,Falls Creek
Australia - Victoria,Lake-Mountain,Lake Mountain
Australia - Victoria,Mt-Baw-Baw,Mount Baw Baw
Australia - Victoria,Mt-Buffalo,Mount Buffalo
Australia - Victoria,Mount-Buller,Mount Buller
Australia - Victoria,Mount-Hotham,Mount Hotham
Australia - Victoria,MtDonnaBuang,Mt Donna Buang
Australia - Victoria,MtStGwinear,Mt St Gwinear
Australia - Victoria,MtStirling,Mt Stirling
Austria,Abtenau,Abtenau
Austria,Achenkirch,Achenkirch am Achensee
Austria,Admont-Kaiserau,Admont/Kaiserau
Austria,Aflenz,Aflenz
Austria,Alberschwende,Alberschwende
Austria,Alpbach,Alpbachtal
Austria,Alpl-bei-Krieglach,Alpl bei Krieglach
Austria,Altaussee,Altaussee
Austria,Andelsbuch,Andelsbuch
Austria,Annaberg,Annaberg
Austria,Arabichl,Arabichl/Kirchberg am Wechse
Austria,Arnoldstein-Dreilaendereck,Arnoldstein-Dreiländerecke
Austria,AuffachWildschonau,Auffach
Austria,Axamer,Axamer Lizum
Austria,Badgastein,Bad Gastein
Austria,Bad-Hofgastein,Bad Hofgastein
Austria,Bad-Ischl-Katrin,Bad Ischl/Katrin
Austria,Bad-Kleinkirchheim,Bad Kleinkirchheim
Austria,Berg-in-the-Drautal-Emberger-Alm,Berg in the Drautal/Emberger Alm
Austria,Bergeralm,Bergeralm
Austria,BerwangBichlbachRinnen,Berwang-Bichlbach-Rinnen
Austria,Biberwier,Biberwier
Austria,Bizau,Bizau
Austria,Bodental,Bodental
Austria,Brand,Brandnertal
Austria,Bregenz-Pfaender,Bregenz/Pfaender
Austria,BrixenimThale,Brixen im Thale
Austria,Dachstein-Glacier,Dachstein Glacier
Austria,Dalaas,Dalaas
Austria,Damuls,Damüls
Austria,DefereggentalStJakob,Defereggental/St Jakob
Austria,Diedamskopf,Diedamskopf
Austria,Dienten,Dienten
Austria,Villach,Dobratsch
Austria,Donnersbachwald,Donnersbachwald
Austria,ThreeLaendereck,Dreilaendereck
Austria,Durrnberg,Durrnberg
Austria,Eben-Monte-Popolo,Eben/Monte Popolo
Austria,EbenseeamTraunsee,Ebensee am Traunsee
Austria,EbersteinSaualpe,Eberstein-Saualpe
Austria,Ehrwald,Ehrwald
Austria,Ehrwalder-Alm,Ehrwalder Alm
Austria,Ellmau,Ellmau
Austria,Embach-Hoerndl,Embach/Hoerndl
Austria,Etmissl,Etmissl
Austria,Falkert,Falkert
Austria,Fanningberg,Fanningberg
Austria,Fendels,Fendels
Austria,Fieberbrunn,Fieberbrunn
Austria,Filzmoos,Filzmoos
Austria,Finkenberg,Finkenberg
Austria,Fiss,Fiss
Austria,Flachau,Flachau-Reitdorf
Austria,Flachauwinkl-Kleinarl,Flachauwinkl-Kleinarl
Austria,Fladnitz-Teichalm,Fladnitz/Teichalm
Austria,Flattach,Flattach
Austria,Flattnitz,Flattnitz
Austria,FontanellaFaschina,Fontanella-Faschina
Austria,Forstau-Fageralm,Forstau/Fageralm
Austria,Fugen,Fügen/Spieljoch
Austria,Fulpmes,Fulpmes
Austria,Furx,Furx
Austria,FussenerJochleGran,Füssener-Jöchle-Grän
Austria,Gaal-Gaaler-Lifte,Gaal/Gaaler Lifte
Austria,Gaberl-Stubalpe-Salln,Gaberl/Stubalpe-Salla
Austria,Gaissau-Hintersee,Gaissau-Hintersee (Spielbergalm)
Austria,Galtur,Galtur-Silvapark
Austria,Gargellen,Gargellen
Austria,Gaschurn,Gaschurn
Austria,Gasteinertal,Gasteiner Tal
Austria,Gemeindealpe,Gemeindealpe
Austria,Gerlitzen,Gerlitzen
Austria,Gerlos,Gerlos
Austria,Glungezer,Glungezer
Austria,Going,Going
Austria,Goldeck,Goldeck
Austria,Goldegg,Goldegg
Austria,Golm,Golm
Austria,Golzentipp,Golzentipp
Austria,Gosau,Gosau-Zwieselalm
Austria,Gostling,Gostling
Austria,Graen-Fuessener-Joechle,Grän/Füssner-Jöchle
Austria,GrebenzenStLambrecht,Grebenzen-St Lambrecht
Austria,Grobming,Gröbming
Austria,GrobeckSpeiereck,Großeck-Speiereck
Austria,GrossarlDorfgastein,Grossarl-Dorfgastein
Austria,Grossglockner-Kals-Matrei,Grossglockner Resort (Kals und Matrei)
Austria,Grunau,Grünau im Almtal
Austria,Hallein-Bad-Duerrnberg-Zinken,Hallein-Bad Dürrnberg/Zinken
Austria,Harmanschlag-Arralifte,Harmanschlag/Arralifte
Austria,Haus,Hauser Kaibling
Austria,Hebalm-am-Packsattel,Hebalm am Packsattel
Austria,Heiligenblut,Heiligenblut
Austria,Hinterstoder,Hinterstoder
Austria,Hintertux,Hintertux
Austria,Hirschegg,Hirschegg
Austria,Hittisau-Hausberg,Hittisau/Hausberg
Austria,Hittisau-Hochhaederich,Hittisau/Hochhäderich
Austria,Hochficht,Hochficht-Schwarzenberg
Austria,Hochfugen,Hochfügen
Austria,HochjochSchruns,Hochjoch-Schruns
Austria,Hochkar,Hochkar-Göstling
Austria,Hochkonig,Hochkönig
Austria,Hochrindl,Hochrindl
Austria,Hochwurzen,Hochwurzen
Austria,Hochzeiger,Hochzeiger
Austria,HochzillertalKaltenbach,Hochzillertal-Kaltenbach
Austria,Hohe-Wand-Wiese,Hohe Wand Wiese
Austria,Hohentauern,Hohentauern
Austria,Hollenstein-on-the-Ybbs-Koenigsberg,Hollenstein an der Ybbs/Königsberglifte
Austria,Holzgau-Gfollberglift,Holzgau/Gföllberglift
Austria,Hopfgarten,Hopfgarten
Austria,Ifen-Kleinwalsertal,Ifen (Kleinwalsertal)
Austria,Igls,Igls
Austria,Imst,Imster Bergbahnen
Austria,Innerkrems,Innerkrems
Austria,Irdning,Irdning
Austria,Ischgl,Ischgl
Austria,Itter,Itter
Austria,Jauerling,Jauerling
Austria,Jerzens,Jerzens
Austria,JochbergPassThurn,Jochberg/PassThurn
Austria,Joechelspitze,Jöchelspitze
Austria,Josefsberg,Josefsberg
Austria,KanzelwandFellhorn,Kanzelwand-Fellhorn (Kleinwalsertal)
Austria,Kappl,Kappl
Austria,Kaprun,Kaprun
Austria,Kaprun-Maiskogel,Kaprun/Maiskogel
Austria,Karlstift-Aichelberglifts,Karlstift/Aichelberglifts
Austria,KarneralmSchonfeld,Karneralm-Schönfeld
Austria,Katschberg-Aineck,Katschberg-Aineck
Austria,Kaunertal,Kaunertal
Austria,Kelchsau,Kelchsau
Austria,Kelchsau-SkiWelt-Wilder-Kaiser-Brixental,Kelchsau (SkiWelt)
Austria,KindbergPolzlLifte,Kindberg Pölzl Lifte
Austria,Kirchberg,Kirchberg
Austria,Kirchdorf,Kirchdorf
Austria,Kirchschlag-bei-Linz,Kirchschlag
Austria,Kitzbuhel,Kitzbühel
Austria,Kleinlobming,Kleinlobming
