#start	Missing Entries				
7/06/18	10:07:47	132	-43.49153	171.538148	1732.54
7/06/18	10:07:48	156	-43.491517		1733.64
7/06/18	10:07:49	154	-43.491505	171.538118	1734.74
7/06/18	10:07:50		-43.491497	171.538105	1735.84
7/06/18	10:07:51	146	-43.491487	171.538096	1736.94
7/06/18	10:07:52	139	-43.491478	171.538089	1737.94
7/06/18	10:07:53	141	-43.491467	171.538081	1739.04
7/06/18	10:07:54	149	-43.491456	171.538073	1740.04
7/06/18	10:07:55	154		171.53806	1741.34
7/06/18	10:07:56	149	-43.491429	171.538048	1742.54
7/06/18	10:07:57	146	-43.491412	171.538035	1743.74
7/06/18	10:07:58	142	-43.4914	171.538021	1744.84
7/06/18	10:07:59	138	-43.491386	171.538009	
