#start,,,,,
2018/06/07 22:02:16.330+00,,,171.540063,-43.495349,1537.07
2018/06/07 22:02:17.340+00,,,171.539924,-43.495271,1622.57
2018/06/07 22:02:17.850+00,,,171.539906,-43.495266,1634.77
2018/06/07 22:02:19.850+00,,,171.539865,-43.495255,1641.47
2018/06/07 22:02:20.850+00,,,171.539882,-43.495248,1635.57
2018/06/07 22:02:21.850+00,,,171.539889,-43.495228,1635.27
2018/06/07 22:02:22.850+00,,,171.539894,-43.495209,1634.97
2018/06/07 22:02:23.850+00,,,171.53988,-43.495204,1636.77
2018/06/07 22:02:24.850+00,,,171.53988,-43.495204,1636.77
2018/06/07 22:02:25.850+00,,,171.53988,-43.495204,1636.77
2018/06/07 22:02:26.850+00,,,171.53988,-43.495204,1636.77
2018/06/07 22:02:27.850+00,,,171.53988,-43.495204,1636.77
2018/06/07 22:02:28.850+00,,,171.53988,-43.495204,1636.77
2018/06/07 22:02:29.850+00,,,171.53988,-43.495204,1636.77
2018/06/07 22:02:30.850+00,,,171.53988,-43.495204,1636.77
2018/06/07 22:02:31.850+00,,,171.53988,-43.495204,1636.77
2018/06/07 22:02:32.850+00,,,171.53988,-43.495204,1636.77
2018/06/07 22:02:33.850+00,,,171.53988,-43.495204,1636.77
2018/06/07 22:02:34.850+00,,,171.53988,-43.495204,1636.77
2018/06/07 22:02:35.850+00,,,171.539872,-43.495198,1635.07
2018/06/07 22:02:36.850+00,,,171.53986,-43.49519,1634.37
2018/06/07 22:02:37.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:38.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:39.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:40.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:41.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:42.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:43.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:44.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:45.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:46.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:47.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:48.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:49.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:50.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:51.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:52.850+00,,,171.539848,-43.495186,1633.47
2018/06/07 22:02:53.850+00,,,171.539878,-43.495179,1631.97
2018/06/07 22:02:54.850+00,,,171.539905,-43.495173,1630.17
2018/06/07 22:02:55.850+00,,,171.539928,-43.495172,1628.37
2018/06/07 22:02:56.850+00,,,171.539955,-43.495171,1626.97
2018/06/07 22:02:57.850+00,,,171.539979,-43.495171,1625.77
2018/06/07 22:02:58.850+00,,,171.540006,-43.495172,1625.37
2018/06/07 22:02:59.850+00,,,171.540035,-43.495176,1624.17
2018/06/07 22:03:00.850+00,,,171.540056,-43.495183,1622.57
2018/06/07 22:03:01.850+00,,,171.540075,-43.49519,1621.27
2018/06/07 22:03:02.850+00,,,171.540091,-43.495197,1620.27
2018/06/07 22:03:03.850+00,,,171.540098,-43.495205,1618.87
2018/06/07 22:03:04.850+00,,,171.540105,-43.49521,1617.57
2018/06/07 22:03:05.850+00,,,171.540105,-43.49521,1617.57
