#start,Not Riding,,,,
7/06/18,10:07:47,132,-43.49153,171.538148,1732.54
7/06/18,10:07:48,156,-43.491517,171.538133,1733.64
7/06/18,10:07:49,154,-43.491505,171.538118,1734.74
7/06/18,10:07:50,151,-43.491497,171.538105,1735.84
7/06/18,10:07:51,146,-43.491487,171.538096,1736.94
7/06/18,10:07:52,139,-43.491478,171.538089,1737.94
7/06/18,10:07:53,141,-43.491467,171.538081,1739.04
7/06/18,10:07:54,149,-43.491456,171.538073,1740.04
7/06/18,10:07:55,154,-43.491443,171.53806,1741.34
7/06/18,10:07:56,149,-43.491429,171.538048,1742.54
7/06/18,10:07:57,146,-43.491412,171.538035,1743.74
7/06/18,10:07:58,142,-43.4914,171.538021,1744.84
7/06/18,10:07:59,138,-43.491386,171.538009,1745.84
#start,A Run Down Hutt,,,,
7/06/18,10:11:21,132,-43.489889,171.537634,1802.69
7/06/18,10:11:22,156,-43.489887,171.537676,1800.69
7/06/18,10:11:23,154,-43.489887,171.537725,1799.49
7/06/18,10:11:24,151,-43.489887,171.537781,1798.86
7/06/18,10:11:25,146,-43.489888,171.537839,1798.46
7/06/18,10:11:26,139,-43.489891,171.537902,1798.06
7/06/18,10:11:27,141,-43.4899,171.537965,1797.86
7/06/18,10:11:28,149,-43.489918,171.538034,1797.46
7/06/18,10:11:29,154,-43.489943,171.538119,1796.66
7/06/18,10:11:30,149,-43.489974,171.538216,1795.86
7/06/18,10:11:31,146,-43.49002,171.538312,1794.96
7/06/18,10:11:32,142,-43.490092,171.538402,1793.66
7/06/18,10:11:33,138,-43.490174,171.538484,1792.66
7/06/18,10:11:34,140,-43.490257,171.538549,1791.66
7/06/18,10:11:35,140,-43.490347,171.538617,1790.36
7/06/18,10:11:36,141,-43.490422,171.538718,1789.46
7/06/18,10:11:37,142,-43.490499,171.538846,1788.56
#start,Another Run,,,,
7/06/18,10:11:38,145,-43.490568,171.538982,1787.76
7/06/18,10:11:39,146,-43.490673,171.53911,1786.36
7/06/18,10:11:40,146,-43.490762,171.539256,1784.96
7/06/18,10:11:41,147,-43.490817,171.539414,1783.86
7/06/18,10:11:42,146,-43.490853,171.539578,1782.96
7/06/18,10:11:43,147,-43.490884,171.539743,1781.26
7/06/18,10:11:44,147,-43.490917,171.539888,1780.16
7/06/18,10:11:45,148,-43.49096,171.540017,1778.96
7/06/18,10:11:46,148,-43.491022,171.540128,1777.06
7/06/18,10:11:47,149,-43.491067,171.540235,1775.46
7/06/18,10:11:48,149,-43.491127,171.540323,1773.96
7/06/18,10:11:49,147,-43.491204,171.54039,1772.36
7/06/18,10:11:50,147,-43.491269,171.540443,1770.36
7/06/18,10:11:51,146,-43.491357,171.540456,1768.96
7/06/18,10:11:52,148,-43.491467,171.540414,1767.16
7/06/18,10:11:53,147,-43.491599,171.540376,1764.36
7/06/18,10:11:54,147,-43.49173,171.540382,1762.66
7/06/18,10:11:55,148,-43.49185,171.540425,1760.86
#start,One More,,,,
7/06/18,10:11:56,148,-43.491957,171.540442,1758.86
7/06/18,10:11:57,149,-43.492061,171.540426,1756.46
7/06/18,10:11:58,150,-43.492161,171.540405,1754.46
7/06/18,10:11:59,151,-43.492269,171.540366,1752.36
7/06/18,10:12:00,150,-43.492389,171.540314,1748.96
7/06/18,10:12:01,149,-43.492509,171.54032,1746.96
7/06/18,10:12:02,148,-43.492623,171.540307,1744.96
7/06/18,10:12:03,147,-43.492749,171.540301,1742.16
7/06/18,10:12:04,145,-43.492876,171.540312,1739.86
7/06/18,10:12:05,145,-43.492993,171.540343,1737.36
7/06/18,10:12:06,146,-43.493101,171.540397,1735.76
7/06/18,10:12:07,145,-43.49321,171.540421,1733.96
7/06/18,10:12:08,147,-43.493328,171.540394,1730.46
7/06/18,10:12:09,148,-43.493458,171.540373,1726.76
7/06/18,10:12:10,148,-43.493562,171.540378,1724.46
7/06/18,10:12:11,149,-43.493668,171.540375,1721.06
7/06/18,10:12:12,149,-43.493766,171.540379,1718.56
7/06/18,10:12:13,151,-43.493871,171.54039,1715.76
7/06/18,10:12:14,152,-43.493968,171.540428,1711.96
7/06/18,10:12:15,150,-43.494051,171.5405,1709.26
7/06/18,10:12:16,148,-43.494131,171.540566,1706.76
7/06/18,10:12:17,146,-43.494217,171.540586,1704.46
